id,session_id,month_year,assigned_to,document_count,categorized_count,skipped_count,assigned_at,completed_at,created_at,updated_at
21287452-2d91-4a3e-8f3d-63d79c1d7be1,8267942a-3721-4956-b866-3aad8e56a1bb,2015-08,922bde00-234f-4016-99b1-241e6574c57f,87,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.177+00,2025-12-09 10:43:17.759+00
789da257-a678-4b04-9cc9-1a215c78e82a,8267942a-3721-4956-b866-3aad8e56a1bb,2021-02,922bde00-234f-4016-99b1-241e6574c57f,193,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:17+00,2025-12-09 10:44:19.284+00
9d5360d1-c3e0-49ea-b479-f8b9973e3807,8267942a-3721-4956-b866-3aad8e56a1bb,2015-09,922bde00-234f-4016-99b1-241e6574c57f,97,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:09.184+00,2025-12-09 10:43:17.764+00
ef21642b-0017-401b-b208-e2c03ca32924,8267942a-3721-4956-b866-3aad8e56a1bb,2020-12,c68e707c-d813-402b-adf1-b7989c4a39d9,277,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:50.949+00,2025-12-12 12:04:53.842+00
76ac64fc-3b00-4dde-bc04-46b26a1ad3a9,8267942a-3721-4956-b866-3aad8e56a1bb,2016-12,922bde00-234f-4016-99b1-241e6574c57f,111,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.865+00,2025-12-09 10:43:17.886+00
339c7339-91bd-4dbd-bf7c-2eafbf65728a,8267942a-3721-4956-b866-3aad8e56a1bb,2020-10,922bde00-234f-4016-99b1-241e6574c57f,306,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.982+00,2025-12-09 10:14:55.457+00
e6f4ac70-5204-4f14-9eb7-07a40e6bd5e7,8267942a-3721-4956-b866-3aad8e56a1bb,2016-11,922bde00-234f-4016-99b1-241e6574c57f,88,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:14.378+00,2025-12-09 08:34:48.934+00
e8bb8d46-328e-46fe-8d4e-e16db91e0f77,8267942a-3721-4956-b866-3aad8e56a1bb,2021-01,c68e707c-d813-402b-adf1-b7989c4a39d9,273,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:50.973+00,2025-12-12 12:04:53.842+00
76bf43d7-2729-4e8d-abd6-b14806fab768,8267942a-3721-4956-b866-3aad8e56a1bb,2021-07,c68e707c-d813-402b-adf1-b7989c4a39d9,229,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:51.015+00,2025-12-12 12:04:53.842+00
80cb85c9-b7a8-4e73-b8b0-c3dc32640671,8267942a-3721-4956-b866-3aad8e56a1bb,2021-03,c68e707c-d813-402b-adf1-b7989c4a39d9,275,0,0,2025-12-12 12:04:53.841+00,,2025-12-09 07:55:50.993+00,2025-12-12 12:04:53.842+00
73d19804-3dcb-4cb8-a082-8b644a969a0c,8267942a-3721-4956-b866-3aad8e56a1bb,2015-01,922bde00-234f-4016-99b1-241e6574c57f,165,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:43:45.113+00,2025-12-09 10:42:51.393+00
0d8791ee-3d35-48e3-8870-4c852da4804a,8267942a-3721-4956-b866-3aad8e56a1bb,2017-01,922bde00-234f-4016-99b1-241e6574c57f,130,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.909+00,2025-12-09 10:43:17.906+00
94b21874-002f-42d8-8b24-745463af1938,8267942a-3721-4956-b866-3aad8e56a1bb,2017-03,922bde00-234f-4016-99b1-241e6574c57f,304,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.941+00,2025-12-09 10:43:17.919+00
ad83d906-5f0a-4282-99d6-4905cb4471e6,8267942a-3721-4956-b866-3aad8e56a1bb,2017-04,922bde00-234f-4016-99b1-241e6574c57f,277,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.964+00,2025-12-09 10:43:17.93+00
64157fc7-0f9a-45cc-a2b6-b4bb401904f3,8267942a-3721-4956-b866-3aad8e56a1bb,2024-10,,347,0,0,,,2025-12-09 07:57:21.783+00,2025-12-09 10:34:05.752+00
980807e8-8bfb-4f3e-90ce-ab2aea16cb33,8267942a-3721-4956-b866-3aad8e56a1bb,2015-04,922bde00-234f-4016-99b1-241e6574c57f,109,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:44:08.988+00,2025-12-09 10:43:17.824+00
5fb6b587-7c5b-4d78-b76e-3dd44597b010,8267942a-3721-4956-b866-3aad8e56a1bb,2019-08,922bde00-234f-4016-99b1-241e6574c57f,86,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:16.944+00,2025-12-09 10:08:48.094+00
4d7d53af-ac10-423c-bcc5-44be35fd3a7e,8267942a-3721-4956-b866-3aad8e56a1bb,2017-02,922bde00-234f-4016-99b1-241e6574c57f,149,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:45.93+00,2025-12-09 10:43:17.912+00
9e9006b5-0fe8-4337-9e08-ac16748e27d9,8267942a-3721-4956-b866-3aad8e56a1bb,2024-11,,325,0,0,,,2025-12-09 07:57:21.803+00,2025-12-09 10:34:05.828+00
e35c788f-67e9-4adf-96be-ff337d72b170,8267942a-3721-4956-b866-3aad8e56a1bb,2021-04,922bde00-234f-4016-99b1-241e6574c57f,266,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:46:17.041+00,2025-12-09 10:44:19.307+00
7b4de84f-bba5-454c-92f0-59f4328c444d,8267942a-3721-4956-b866-3aad8e56a1bb,2017-06,922bde00-234f-4016-99b1-241e6574c57f,231,0,0,2025-12-09 07:47:42.458+00,,2025-12-09 07:45:46.002+00,2025-12-09 10:43:17.937+00
